time;close;volume;A_context;energy;omega;fatigue;persistence;discharge;bars_since_discharge;state
2026.06.11 19:00;63540.41;5169;-0.133167;0.466757;0.003061;0.009335;0.280054;false;0;HOMEOSTASIS
2026.06.11 20:00;63328.83;2476;-0.128672;0.467876;0.006290;0.018581;0.550978;false;0;HOMEOSTASIS
2026.06.11 21:00;63460.11;2055;-0.125564;0.468650;0.009672;0.027731;0.812884;false;0;HOMEOSTASIS
2026.06.11 22:00;63437.50;2484;-0.126714;0.468364;0.013188;0.036765;1.065451;false;0;HOMEOSTASIS
2026.06.11 23:00;63562.97;2429;-0.118626;0.470378;0.016843;0.045732;1.310388;false;0;HOMEOSTASIS
2026.06.12 00:00;63576.00;2741;-0.117811;0.470581;0.020613;0.054594;1.546873;false;0;HOMEOSTASIS
2026.06.12 01:00;63349.06;3126;-0.113230;0.471723;0.024496;0.063374;1.775766;false;0;HOMEOSTASIS
2026.06.12 02:00;63535.54;2572;-0.115119;0.471252;0.028470;0.072038;1.996365;false;0;HOMEOSTASIS
2026.06.12 03:00;63429.68;2243;-0.112542;0.471894;0.032533;0.080612;2.209629;false;0;HOMEOSTASIS
2026.06.12 04:00;63609.43;2681;-0.109769;0.472585;0.036678;0.089096;2.415843;false;0;HOMEOSTASIS
2026.06.12 05:00;63261.29;2702;-0.080402;0.479910;0.040939;0.097625;2.619235;false;0;HOMEOSTASIS
2026.06.12 06:00;62905.82;3759;0.015499;0.503875;0.045421;0.106531;2.829886;false;0;HOMEOSTASIS
2026.06.12 07:00;63019.72;2903;0.845548;0.699632;0.051250;0.119245;3.150620;false;0;ACCUMULATION
2026.06.12 08:00;63386.36;3419;-0.092337;0.476932;0.055742;0.127353;3.326507;false;0;ACCUMULATION
2026.06.12 09:00;63685.71;3444;-0.112639;0.471870;0.060235;0.135262;3.493202;false;0;ACCUMULATION
2026.06.12 10:00;63622.84;2990;-0.125456;0.468677;0.064732;0.143013;3.652146;false;0;ACCUMULATION
2026.06.12 11:00;63684.91;2878;-0.127524;0.468162;0.069245;0.150660;3.805218;false;0;ACCUMULATION
2026.06.12 12:00;63393.34;3471;-0.124984;0.468795;0.073776;0.158228;3.953312;false;0;ACCUMULATION
2026.06.12 15:00;63550.90;8369;2.048274;0.885773;0.081051;0.174044;4.346410;false;0;ACCUMULATION
2026.06.12 16:00;63944.11;5978;-0.117899;0.470559;0.085750;0.181367;4.476621;false;0;ACCUMULATION
