time;close;volume;A_context;energy;omega;fatigue;persistence;discharge;bars_since_discharge;state
2026.06.12 03:10;160.289;4;-0.413087;0.398172;0.002611;0.007963;0.238903;false;0;HOMEOSTASIS
2026.06.12 03:11;160.288;3;-0.190129;0.452611;0.005716;0.016920;0.502108;false;0;HOMEOSTASIS
2026.06.12 03:12;160.289;1;-0.339045;0.416041;0.008726;0.025038;0.734159;false;0;HOMEOSTASIS
2026.06.12 03:14;160.283;10;0.270480;0.567211;0.012848;0.036082;1.048790;false;0;HOMEOSTASIS
2026.06.12 03:15;160.282;9;0.259826;0.564593;0.017115;0.046941;1.350838;false;0;HOMEOSTASIS
2026.06.12 03:16;160.289;14;0.293901;0.572951;0.021585;0.057836;1.647329;false;0;HOMEOSTASIS
2026.06.12 03:17;160.284;8;0.267837;0.566562;0.026150;0.068473;1.929610;false;0;HOMEOSTASIS
2026.06.12 03:18;160.279;3;-0.281075;0.430190;0.029943;0.076256;2.120188;false;0;HOMEOSTASIS
2026.06.12 03:19;160.280;3;-0.015129;0.496218;0.034234;0.085265;2.343712;false;0;HOMEOSTASIS
2026.06.12 03:20;160.280;4;-0.108055;0.473012;0.038452;0.093702;2.545490;false;0;HOMEOSTASIS
2026.06.12 03:21;160.275;5;-0.384508;0.405040;0.042288;0.100678;2.699421;false;0;HOMEOSTASIS
2026.06.12 03:22;160.266;9;-0.691525;0.333694;0.045687;0.106144;2.805158;false;0;HOMEOSTASIS
2026.06.12 03:23;160.266;7;-0.636357;0.346070;0.049169;0.111792;2.914620;false;0;HOMEOSTASIS
2026.06.12 03:24;160.256;17;-0.679806;0.336305;0.052590;0.117176;3.014391;false;0;ACCUMULATION
2026.06.12 03:25;160.251;12;-0.798252;0.310400;0.055838;0.121978;3.095127;false;0;ACCUMULATION
2026.06.12 03:26;160.251;8;-0.751265;0.320546;0.059137;0.126925;3.179125;false;0;ACCUMULATION
2026.06.12 03:27;160.255;33;-0.515728;0.373852;0.062772;0.132879;3.292166;false;0;ACCUMULATION
2026.06.12 03:28;160.262;23;-0.255115;0.436565;0.066821;0.140016;3.438879;false;0;ACCUMULATION
2026.06.12 03:29;160.252;9;-0.657585;0.341282;0.070265;0.145162;3.523288;false;0;ACCUMULATION
2026.06.12 03:30;160.243;16;-0.835140;0.302559;0.073439;0.149471;3.581509;false;0;ACCUMULATION
2026.06.12 03:31;160.229;41;-0.885832;0.291971;0.076511;0.153517;3.631338;false;0;ACCUMULATION
2026.06.12 03:32;160.213;18;-0.927918;0.283347;0.079489;0.157341;3.674250;false;0;ACCUMULATION
2026.06.12 03:33;160.225;22;-0.858071;0.297742;0.082522;0.161408;3.724296;false;0;ACCUMULATION
2026.06.12 03:34;160.209;17;-0.892885;0.290515;0.085473;0.165281;3.768255;false;0;ACCUMULATION
2026.06.12 03:35;160.217;24;-0.835516;0.302480;0.088463;0.169348;3.817854;false;0;ACCUMULATION
2026.06.12 03:36;160.218;10;-0.867325;0.295811;0.091376;0.173232;3.861716;false;0;ACCUMULATION
2026.06.12 03:37;160.222;18;-0.809306;0.308038;0.094332;0.177314;3.911379;false;0;ACCUMULATION
2026.06.12 03:38;160.220;9;-0.782959;0.313682;0.097291;0.181460;3.962690;false;0;ACCUMULATION
2026.06.12 03:39;160.227;7;-0.733503;0.324427;0.100290;0.185771;4.018652;false;0;ACCUMULATION
2026.06.12 03:40;160.226;5;-0.740638;0.322865;0.103249;0.189999;4.071718;false;0;ACCUMULATION
2026.06.12 03:41;160.227;8;-0.682208;0.335769;0.106263;0.194434;4.130669;false;0;ACCUMULATION
2026.06.12 03:42;160.224;6;-0.616801;0.350509;0.109348;0.199111;4.196401;false;0;ACCUMULATION
2026.06.12 03:43;160.216;7;-0.705326;0.330632;0.112279;0.203334;4.247906;false;0;ACCUMULATION
2026.06.12 03:44;160.216;9;-0.603310;0.353587;0.115331;0.207966;4.311382;false;0;ACCUMULATION
2026.06.12 03:45;160.232;15;0.037471;0.509367;0.119381;0.215658;4.466103;false;0;ACCUMULATION
2026.06.12 03:46;160.233;1;0.081231;0.520297;0.123533;0.223476;4.621968;false;0;ACCUMULATION
2026.06.12 03:47;160.240;21;0.277666;0.568974;0.128030;0.232174;4.801583;false;0;ACCUMULATION
2026.06.12 03:48;160.248;9;0.303602;0.575323;0.132609;0.240894;4.978721;false;0;ACCUMULATION
2026.06.12 03:49;160.250;12;0.915070;0.714036;0.138132;0.252284;5.232888;false;0;ACCUMULATION
2026.06.12 03:50;160.252;23;0.963798;0.723882;0.143796;0.263734;5.484066;false;0;ACCUMULATION
2026.06.12 03:51;160.251;7;-0.323346;0.419861;0.147536;0.268967;5.544040;false;0;ACCUMULATION
2026.06.12 03:52;160.243;6;-0.579898;0.358956;0.150832;0.272918;5.565372;false;0;ACCUMULATION
2026.06.12 03:53;160.239;8;0.031023;0.507755;0.155040;0.279798;5.675237;false;0;ACCUMULATION
