time;close;volume;A_context;energy;omega;fatigue;persistence;discharge;bars_since_discharge;state
2026.06.11 19:00;4208.966;35410;-0.260697;0.435192;0.002854;0.008704;0.261115;false;0;HOMEOSTASIS
2026.06.11 20:00;4211.516;10304;-0.252290;0.437260;0.005871;0.017345;0.514332;false;0;HOMEOSTASIS
2026.06.11 22:00;4243.304;9819;-0.258424;0.435751;0.009017;0.025851;0.757781;false;0;HOMEOSTASIS
2026.06.11 23:00;4219.785;12232;-0.264892;0.434162;0.012279;0.034225;0.991756;false;0;HOMEOSTASIS
2026.06.12 00:00;4208.427;23691;-0.255917;0.436368;0.015671;0.042541;1.218865;false;0;HOMEOSTASIS
2026.06.12 01:00;4186.890;28315;-0.230176;0.442709;0.019211;0.050885;1.441830;false;0;HOMEOSTASIS
2026.06.12 02:00;4191.411;16245;-0.224002;0.444232;0.022859;0.059159;1.657905;false;0;HOMEOSTASIS
2026.06.12 03:00;4197.277;14279;-0.231084;0.442485;0.026586;0.067299;1.865370;false;0;HOMEOSTASIS
2026.06.12 04:00;4190.115;9322;-0.212810;0.446997;0.030423;0.075431;2.068280;false;0;HOMEOSTASIS
2026.06.12 05:00;4173.030;17556;-0.216812;0.446008;0.034328;0.083446;2.263495;false;0;HOMEOSTASIS
2026.06.12 06:00;4184.002;14441;-0.221602;0.444825;0.038290;0.091341;2.451168;false;0;HOMEOSTASIS
2026.06.12 07:00;4194.484;16692;-0.232929;0.442030;0.042291;0.099086;2.630595;false;0;HOMEOSTASIS
2026.06.12 08:00;4219.695;25062;-0.255362;0.436504;0.046305;0.106627;2.800426;false;0;HOMEOSTASIS
2026.06.12 09:00;4221.921;15274;-0.258583;0.435712;0.050356;0.114061;2.963839;false;0;HOMEOSTASIS
2026.06.12 10:00;4210.733;13920;-0.256558;0.436210;0.054444;0.121417;3.121830;false;0;ACCUMULATION
2026.06.12 11:00;4207.017;12296;-0.264915;0.434156;0.058547;0.128643;3.273060;false;0;ACCUMULATION
2026.06.12 12:00;4191.873;17360;-0.249143;0.438034;0.062699;0.135860;3.421323;false;0;ACCUMULATION
2026.06.12 15:00;4211.904;29873;-0.171298;0.457280;0.066996;0.143375;3.575945;false;0;ACCUMULATION
2026.06.12 16:00;4216.119;22174;0.739819;0.676956;0.072755;0.155194;3.856961;false;0;ACCUMULATION
