TIME	SYMBOL	P_PRE	OMEGA_PRE	P_POST	OMEGA_POST	A_CONTEXT	TRIGGER_TYPE	TAU_FORCED
2026.06.13 04:53	BTCUSDm	5.9207	0.8762	2.9604	0.6133	-0.1005	EXOGENOUS	0
2026.06.13 04:54	BTCUSDm	3.1389	0.6037	1.5695	0.4226	-0.1005	EXOGENOUS	0
2026.06.13 05:25	BTCUSDm	5.2948	0.6916	2.6474	0.4841	-0.1005	EXOGENOUS	0
2026.06.13 05:26	BTCUSDm	2.8447	0.4817	1.4224	0.3372	-0.1005	EXOGENOUS	0
2026.06.13 05:40	BTCUSDm	4.0380	0.4566	2.0190	0.3196	-0.1005	EXOGENOUS	0
2026.06.13 06:18	BTCUSDm	5.6146	0.7499	2.8073	0.5249	-0.1797	EXOGENOUS	0
2026.06.13 06:19	BTCUSDm	2.9826	0.5221	1.4913	0.3655	-0.1668	EXOGENOUS	0
2026.06.13 06:49	BTCUSDm	4.8547	0.6949	2.4273	0.4865	-0.3033	EXOGENOUS	0
2026.06.13 06:50	BTCUSDm	2.6066	0.4839	1.3033	0.3387	-0.2689	EXOGENOUS	0
2026.06.13 07:05	BTCUSDm	4.0300	0.4695	2.0150	0.3286	-0.1971	EXOGENOUS	0
2026.06.13 09:10	BTCUSDm	5.7408	0.9079	2.8704	0.6355	-0.2798	EXOGENOUS	0
2026.06.13 09:11	BTCUSDm	3.0882	0.6207	1.5441	0.4345	0.0802	EXOGENOUS	0
2026.06.13 09:20	BTCUSDm	3.5915	0.4515	1.7957	0.3161	-0.4727	EXOGENOUS	0
2026.06.13 09:33	BTCUSDm	3.9593	0.4738	1.9797	0.3317	-0.1667	EXOGENOUS	0
2026.06.13 09:44	BTCUSDm	4.3033	0.4594	2.1517	0.3216	0.1603	EXOGENOUS	0
2026.06.13 10:07	BTCUSDm	5.2905	0.6843	2.6452	0.4790	0.5156	ENDOGENOUS	0
2026.06.13 10:08	BTCUSDm	2.7964	0.4815	1.3982	0.3370	-0.3507	EXOGENOUS	0
2026.06.13 10:21	BTCUSDm	3.5799	0.4685	1.7900	0.3280	-0.4806	EXOGENOUS	0
2026.06.13 10:31	BTCUSDm	3.8485	0.4636	1.9243	0.3245	-0.5235	EXOGENOUS	0
