TIME	SYMBOL	P_PRE	OMEGA_PRE	P_POST	OMEGA_POST	A_CONTEXT	TRIGGER_TYPE	TAU_FORCED
2026.06.13 04:17	ETHUSDm	6.1554	0.4603	3.0777	0.3222	-0.1005	EXOGENOUS	0
2026.06.13 04:35	ETHUSDm	5.4746	0.4508	2.7373	0.3156	-0.1005	EXOGENOUS	0
2026.06.13 04:55	ETHUSDm	5.5653	0.4578	2.7827	0.3205	-0.1075	EXOGENOUS	0
2026.06.13 05:14	ETHUSDm	5.4033	0.4591	2.7017	0.3214	-0.1075	EXOGENOUS	0
2026.06.13 05:33	ETHUSDm	5.3751	0.4592	2.6875	0.3214	-0.1006	EXOGENOUS	0
2026.06.13 05:51	ETHUSDm	5.2692	0.4519	2.6346	0.3163	-0.1005	EXOGENOUS	0
2026.06.13 06:08	ETHUSDm	5.2670	0.4517	2.6335	0.3162	-0.1429	EXOGENOUS	0
2026.06.13 06:26	ETHUSDm	5.1552	0.4538	2.5776	0.3177	-0.1429	EXOGENOUS	0
2026.06.13 06:44	ETHUSDm	5.2078	0.4502	2.6039	0.3151	-0.1006	EXOGENOUS	0
2026.06.13 07:02	ETHUSDm	5.3861	0.4624	2.6930	0.3237	-0.1139	EXOGENOUS	0
2026.06.13 07:19	ETHUSDm	5.1720	0.4539	2.5860	0.3177	-0.1417	EXOGENOUS	0
2026.06.13 07:44	ETHUSDm	5.7651	0.5237	2.8825	0.3666	-0.1354	EXOGENOUS	0
2026.06.13 08:06	ETHUSDm	5.6587	0.5240	2.8294	0.3668	-0.1354	EXOGENOUS	0
2026.06.13 08:30	ETHUSDm	5.8117	0.5381	2.9058	0.3767	-0.1005	EXOGENOUS	0
2026.06.13 08:45	ETHUSDm	5.0267	0.4693	2.5133	0.3285	-0.2086	EXOGENOUS	0
2026.06.13 09:02	ETHUSDm	5.3980	0.4596	2.6990	0.3217	-0.2656	EXOGENOUS	0
2026.06.13 09:19	ETHUSDm	5.1206	0.4602	2.5603	0.3221	-0.2170	EXOGENOUS	0
2026.06.13 09:36	ETHUSDm	4.9121	0.4577	2.4560	0.3204	-0.4204	EXOGENOUS	0
2026.06.13 09:53	ETHUSDm	4.6815	0.4555	2.3407	0.3188	-0.3021	EXOGENOUS	0
2026.06.13 10:10	ETHUSDm	5.0293	0.4607	2.5146	0.3225	-0.4826	EXOGENOUS	0
2026.06.13 10:27	ETHUSDm	5.8901	0.4529	2.9451	0.3170	-0.1005	EXOGENOUS	0
2026.06.13 10:43	ETHUSDm	5.2027	0.4515	2.6013	0.3161	-0.1005	EXOGENOUS	0
2026.06.13 11:01	ETHUSDm	5.2238	0.4558	2.6119	0.3191	-0.1005	EXOGENOUS	0
