TIME	SYMBOL	A_CONTEXT	ENERGY	PERSISTENCE	P_EQ	OMEGA	FATIGUE	SI	BD	SL	TOPOLOGY	CORE_REGIME	CORE_VEL	CORE_ENG	CORE_M	CORE_TFAT	CORE_PERS
2026.06.13 11:36	BTCUSDm	-0.1505	0.4624	0.6738	5.7806	0.0120	0.0182	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.9782	0.5781	0.0084	0.0146	2
2026.06.13 11:37	BTCUSDm	-0.1513	0.4622	0.9801	5.7780	0.0229	0.0269	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.9837	0.5778	0.0160	0.0216	2
2026.06.13 11:38	BTCUSDm	0.0492	0.5123	1.3055	6.4037	0.0354	0.0364	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.3198	0.6404	0.0248	0.0291	3
2026.06.13 11:39	BTCUSDm	-0.1299	0.4676	1.5778	5.8448	0.0514	0.0446	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.8441	0.5845	0.0360	0.0357	4
2026.06.13 11:40	BTCUSDm	-0.1507	0.4624	1.8300	5.7801	0.0695	0.0526	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.9792	0.5780	0.0486	0.0420	5
2026.06.13 11:41	BTCUSDm	-0.1170	0.4708	2.0733	5.8847	0.0886	0.0604	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.7607	0.5885	0.0620	0.0483	5
2026.06.13 11:42	BTCUSDm	-0.1430	0.4643	2.2971	5.8040	0.1092	0.0679	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.9293	0.5804	0.0765	0.0543	6
2026.06.13 11:43	BTCUSDm	-0.1456	0.4637	2.5070	5.7959	0.1308	0.0751	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.9462	0.5796	0.0916	0.0601	6
2026.06.13 11:44	BTCUSDm	-0.0591	0.4852	2.7205	6.0655	0.1518	0.0826	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.3840	0.6065	0.1063	0.0660	7
2026.06.13 11:45	BTCUSDm	-0.1104	0.4724	2.9116	5.9054	0.1743	0.0895	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.7175	0.5905	0.1220	0.0716	7
2026.06.13 11:46	BTCUSDm	-0.1515	0.4622	3.0836	5.7775	0.1978	0.0961	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.9847	0.5777	0.1385	0.0769	8
2026.06.13 11:47	BTCUSDm	-0.1232	0.4692	3.2505	5.8655	0.2209	0.1026	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.8009	0.5865	0.1546	0.0821	8
2026.06.13 11:48	BTCUSDm	-0.0059	0.4985	3.4294	6.2317	0.2419	0.1095	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.0381	0.6232	0.1694	0.0876	9
2026.06.13 11:49	BTCUSDm	-0.1575	0.4607	3.5691	5.7589	0.2661	0.1154	0.0000	0.00	0	UNKNOWN	INITIALIZING	1.0237	0.5759	0.1863	0.0923	9
2026.06.13 11:50	BTCUSDm	-0.1476	0.4632	3.7024	5.7897	0.2898	0.1212	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.9592	0.5790	0.2028	0.0970	9
2026.06.13 11:51	BTCUSDm	-0.1554	0.4612	3.8261	5.7653	0.3132	0.1268	0.0000	0.00	0	UNKNOWN	INITIALIZING	1.0103	0.5765	0.2193	0.1014	10
2026.06.13 11:52	BTCUSDm	-0.0064	0.4984	3.9704	6.2300	0.3331	0.1330	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.0416	0.6230	0.2332	0.1064	10
2026.06.13 11:53	BTCUSDm	-0.1427	0.4644	4.0804	5.8050	0.3559	0.1383	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.9272	0.5805	0.2491	0.1106	10
2026.06.13 11:54	BTCUSDm	-0.1280	0.4680	4.1866	5.8504	0.3778	0.1435	0.0000	0.00	0	UNKNOWN	INITIALIZING	0.8322	0.5850	0.2645	0.1148	10
2026.06.13 11:55	BTCUSDm	-0.1637	0.4592	4.2798	5.7395	0.4001	0.1484	0.0000	0.00	0	UNKNOWN	INITIALIZING	1.0642	0.5739	0.2801	0.1187	11
2026.06.13 11:56	BTCUSDm	-0.1560	0.4611	4.3688	5.7636	0.4215	0.1531	0.0000	0.00	0	UNKNOWN	INITIALIZING	1.0138	0.5764	0.2950	0.1225	11
