timestamp	symbol	price	P	F	R	Omega	SI	C_t	K_t	SD	RDebt	RE	CI	MB	VS_raw	VS
2026.06.16 02:15:07	XAUUSDm	4308.820	0.007650	0.002010	0.000372	0.002010	0.002010	0.153000	0.040206	0.000076	0.000013	0.037245	0.037245	0.001825	0.015345	0.503836
2026.06.16 02:15:07	XAUUSDm	4308.761	0.014823	0.003879	0.000975	0.003987	0.003887	0.151111	0.039536	0.000224	0.000035	0.097506	0.097506	0.003662	0.039892	0.509972
2026.06.16 02:15:09	XAUUSDm	4308.839	0.021762	0.006279	0.001789	0.006596	0.006306	0.153612	0.052268	0.000441	0.000066	0.178870	0.137321	0.003713	0.062038	0.515505
2026.06.16 02:15:09	XAUUSDm	4308.895	0.028446	0.007806	0.002767	0.008457	0.007867	0.155429	0.037526	0.000723	0.000096	0.276724	0.168780	0.006131	0.085154	0.521276
2026.06.16 02:15:10	XAUUSDm	4308.921	0.034837	0.008231	0.003936	0.009299	0.008345	0.156278	0.017423	0.001068	0.000111	0.393625	0.223097	0.011607	0.117602	0.529367
2026.06.16 02:15:10	XAUUSDm	4308.974	0.040997	0.009517	0.005324	0.011027	0.009703	0.158021	0.035516	0.001472	0.000114	0.532445	0.257315	0.014339	0.147622	0.536839
2026.06.16 02:15:10	XAUUSDm	4308.921	0.046761	0.010710	0.006858	0.012737	0.010994	0.156278	0.035516	0.001933	0.000103	0.640283	0.290123	0.016952	0.172608	0.543045
2026.06.16 02:15:10	XAUUSDm	4308.723	0.051918	0.016672	0.008478	0.019284	0.017078	0.149904	0.132681	0.002442	0.000125	0.508500	0.234237	0.004558	0.135717	0.533877
2026.06.16 02:15:10	XAUUSDm	4308.654	0.056709	0.017980	0.009945	0.021485	0.018536	0.147734	0.046237	0.002997	0.000136	0.553118	0.251692	0.005471	0.146945	0.536670
2026.06.16 02:15:10	XAUUSDm	4308.584	0.061151	0.019228	0.011483	0.023683	0.019955	0.145559	0.046908	0.003594	0.000134	0.597187	0.268435	0.006175	0.157858	0.539383
2026.06.16 02:15:10	XAUUSDm	4308.493	0.065232	0.021086	0.013067	0.026546	0.022006	0.142771	0.060980	0.004228	0.000126	0.619703	0.276141	0.004619	0.162710	0.540588
2026.06.16 02:15:11	XAUUSDm	4308.436	0.069023	0.021680	0.014656	0.028228	0.022815	0.141047	0.038196	0.004897	0.000099	0.676017	0.296726	0.006475	0.176703	0.544061
2026.06.16 02:15:11	XAUUSDm	4308.383	0.072545	0.022079	0.016299	0.029734	0.023450	0.139460	0.035516	0.005598	0.000050	0.738238	0.318799	0.008619	0.192025	0.547859
2026.06.16 02:15:11	XAUUSDm	4308.328	0.075809	0.022491	0.017990	0.031262	0.024121	0.137829	0.036856	0.006328	0.000000	0.799848	0.339812	0.010410	0.206900	0.551541
2026.06.16 02:15:11	XAUUSDm	4308.372	0.078975	0.022481	0.019721	0.032379	0.024389	0.139133	0.029485	0.007086	0.000000	0.877198	0.365490	0.013264	0.225560	0.556152
2026.06.16 02:15:11	XAUUSDm	4308.448	0.082097	0.023509	0.021502	0.034526	0.025716	0.141409	0.050928	0.007872	0.000000	0.914635	0.376595	0.012915	0.233785	0.558182
2026.06.16 02:15:11	XAUUSDm	4308.501	0.085143	0.023680	0.023280	0.035862	0.026206	0.143014	0.035516	0.008684	0.000000	0.983137	0.397482	0.014964	0.249714	0.562106
2026.06.16 02:15:11	XAUUSDm	4308.432	0.087932	0.024342	0.025081	0.037691	0.027207	0.140927	0.046237	0.009520	0.000000	1.030358	0.410696	0.015216	0.260080	0.564656
2026.06.16 02:15:12	XAUUSDm	4308.487	0.090665	0.024466	0.026877	0.039009	0.027690	0.142589	0.036856	0.010379	0.000000	1.098561	0.429799	0.016939	0.275431	0.568426
2026.06.16 02:15:12	XAUUSDm	4308.434	0.093181	0.024481	0.028686	0.040219	0.028081	0.140987	0.035516	0.011259	0.000000	1.171755	0.449471	0.018706	0.291682	0.572408
2026.06.16 02:15:12	XAUUSDm	4308.490	0.095656	0.024559	0.030507	0.041489	0.028553	0.142680	0.037526	0.012082	0.000000	1.242181	0.467936	0.020332	0.307186	0.576198
2026.06.16 02:15:12	XAUUSDm	4308.545	0.098091	0.024564	0.032336	0.042685	0.028969	0.144358	0.036856	0.012855	0.000000	1.316390	0.487080	0.022216	0.323497	0.580176
2026.06.16 02:15:12	XAUUSDm	4308.608	0.100502	0.024800	0.034172	0.044110	0.029631	0.146302	0.042217	0.013578	0.000000	1.377894	0.502461	0.023456	0.336805	0.583414
2026.06.16 02:15:12	XAUUSDm	4309.013	0.103442	0.036446	0.035972	0.056955	0.041719	0.159314	0.271394	0.014260	0.000000	0.986974	0.389196	-0.008991	0.241671	0.560125
2026.06.16 02:15:12	XAUUSDm	4309.072	0.106334	0.035881	0.037224	0.058170	0.041610	0.161286	0.039536	0.014904	0.000000	1.037428	0.402883	-0.005350	0.253507	0.563040
2026.06.16 02:15:12	XAUUSDm	4309.136	0.109190	0.035487	0.038565	0.059487	0.041674	0.163447	0.042887	0.015511	0.000000	1.086722	0.416141	-0.002102	0.264967	0.565857
2026.06.16 02:15:12	XAUUSDm	4309.292	0.112171	0.038168	0.039970	0.063823	0.044817	0.168813	0.104537	0.016088	0.000000	1.047215	0.403445	-0.007836	0.254376	0.563253
2026.06.16 02:15:12	XAUUSDm	4309.172	0.114796	0.039481	0.041273	0.066893	0.046597	0.164673	0.080413	0.016636	0.000000	1.045397	0.401830	-0.009877	0.253134	0.562948
2026.06.16 02:15:12	XAUUSDm	4309.290	0.117494	0.040635	0.042551	0.069832	0.048221	0.168743	0.079073	0.017161	0.000000	1.047156	0.401367	-0.011353	0.252861	0.562881
