timestamp;symbol;price;C_t;K_t;P;F;R;Omega;SI;SD;RDebt;RE;CI;MB;VS_raw;VS;phase
2026.07.21 20:50:00;EURUSDm;1.13995;0.337801;3.508772;0.000000;0.175439;0.000000;0.122807;0.000000;0.000000;0.001754;0.000000;0.000000;-0.177193;-0.022184;0.494454;SEED
2026.07.21 20:51:00;EURUSDm;1.13995;0.233405;0.001000;0.000000;0.166717;0.000000;0.118544;0.000000;0.000000;0.003422;0.000000;0.000000;-0.170138;-0.021336;0.494666;SEED
2026.07.21 20:52:00;EURUSDm;1.13995;0.277356;0.001000;0.000000;0.158431;0.000000;0.114430;0.000000;0.000000;0.005006;0.000000;0.000000;-0.163437;-0.020530;0.494868;SEED
2026.07.21 20:53:00;EURUSDm;1.13991;0.261098;1.886792;0.000000;0.244849;0.000000;0.176462;0.000000;0.000000;0.007454;0.000000;0.000000;-0.252303;-0.031687;0.492079;SEED
2026.07.21 20:54:00;EURUSDm;1.13985;0.192332;2.777778;0.000000;0.371495;0.000000;0.267508;0.000000;0.000000;0.011169;0.000000;0.000000;-0.382665;-0.048056;0.487988;SEED
2026.07.21 20:55:00;EURUSDm;1.13985;0.184240;0.001000;0.000000;0.352971;0.000000;0.258181;0.000000;0.000000;0.014699;0.000000;0.000000;-0.367670;-0.046253;0.488439;SEED
2026.07.21 20:56:00;EURUSDm;1.13985;0.190897;0.001000;0.000000;0.335372;0.000000;0.249179;0.000000;0.000000;0.018053;0.000000;0.000000;-0.353425;-0.044539;0.488867;SEED
2026.07.21 20:57:00;EURUSDm;1.13971;0.149754;6.422018;0.000000;0.639704;0.000000;0.465229;0.000000;0.000000;0.024450;0.000000;0.000000;-0.664154;-0.083508;0.479135;SEED
2026.07.21 20:58:00;EURUSDm;1.13976;0.169454;2.252252;0.000000;0.720332;0.000000;0.527775;0.000000;0.000000;0.031653;0.000000;0.000000;-0.751985;-0.094631;0.476360;SEED
2026.07.21 20:59:00;EURUSDm;1.13949;0.133136;10.150376;0.000000;1.000000;0.000000;0.864566;0.000000;0.000000;0.041653;0.000000;0.000000;-1.041653;-0.131040;0.467287;SEED
2026.07.21 21:01:00;EURUSDm;1.13969;0.166525;6.666667;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.051653;0.000000;0.000000;-1.051653;-0.132490;0.466926;SEED
