timestamp;symbol;price;C_t;K_t;P;F;R;Omega;SI;SD;RDebt;RE;CI;MB;VS_raw;VS;phase
2026.07.21 20:51:00;XAUUSDm;4078.142;0.419692;1.070043;0.000000;0.053502;0.000000;0.037452;0.000000;0.000000;0.000535;0.000000;0.000000;-0.054037;-0.006765;0.498309;SEED
2026.07.21 20:52:00;XAUUSDm;4078.325;0.420218;0.379102;0.000000;0.069782;0.000000;0.049409;0.000000;0.000000;0.001233;0.000000;0.000000;-0.071015;-0.008902;0.497775;SEED
2026.07.21 20:53:00;XAUUSDm;4078.562;0.343522;0.491865;0.000000;0.090886;0.000000;0.064895;0.000000;0.000000;0.002142;0.000000;0.000000;-0.093028;-0.011671;0.497082;SEED
2026.07.21 20:54:00;XAUUSDm;4077.914;0.346047;1.331853;0.000000;0.152935;0.000000;0.109239;0.000000;0.000000;0.003671;0.000000;0.000000;-0.156606;-0.019649;0.495088;SEED
2026.07.21 20:55:00;XAUUSDm;4077.057;0.345701;1.724693;0.000000;0.231523;0.000000;0.165780;0.000000;0.000000;0.005986;0.000000;0.000000;-0.237509;-0.029808;0.492548;SEED
2026.07.21 20:56:00;XAUUSDm;4077.833;0.349236;1.629431;0.000000;0.301418;0.000000;0.217007;0.000000;0.000000;0.009000;0.000000;0.000000;-0.310418;-0.038982;0.490256;SEED
2026.07.21 20:57:00;XAUUSDm;4077.934;0.354010;0.215031;0.000000;0.297099;0.000000;0.216938;0.000000;0.000000;0.011971;0.000000;0.000000;-0.309070;-0.038873;0.490283;SEED
2026.07.21 22:00:00;XAUUSDm;4079.762;0.365563;3.619802;0.000000;0.463234;0.000000;0.336038;0.000000;0.000000;0.016604;0.000000;0.000000;-0.479838;-0.060312;0.484927;SEED
2026.07.21 22:01:00;XAUUSDm;4079.312;0.370195;0.883670;0.000000;0.484256;0.000000;0.355206;0.000000;0.000000;0.021446;0.000000;0.000000;-0.505702;-0.063642;0.484095;SEED
2026.07.21 22:02:00;XAUUSDm;4079.274;0.372759;0.075337;0.000000;0.463810;0.000000;0.345410;0.000000;0.000000;0.026084;0.000000;0.000000;-0.489894;-0.061758;0.484565;SEED
2026.07.21 22:03:00;XAUUSDm;4079.044;0.379155;0.456893;0.000000;0.463464;0.000000;0.349312;0.000000;0.000000;0.030719;0.000000;0.000000;-0.494183;-0.062387;0.484408;SEED
2026.07.21 22:04:00;XAUUSDm;4078.706;0.375913;0.679151;0.000000;0.474248;0.000000;0.360856;0.000000;0.000000;0.035462;0.000000;0.000000;-0.509710;-0.064423;0.483900;SEED
