time;close;volume;A_context;energy;omega;fatigue;persistence;discharge;state
2026.06.11 16:57;62525.60;46;-0.114921;0.471301;0.003933;0.011606;0.000000;false;HOMEOSTASIS
2026.06.11 16:58;62512.96;41;-0.114963;0.471291;0.007868;0.023037;0.000000;false;HOMEOSTASIS
2026.06.11 16:59;62503.23;30;-0.114658;0.471367;0.011805;0.034299;0.000000;false;HOMEOSTASIS
2026.06.11 17:00;62498.17;88;-0.113341;0.471695;0.015742;0.045400;0.000000;false;HOMEOSTASIS
2026.06.11 17:01;62508.93;113;-0.109340;0.472692;0.019683;0.056359;0.000000;false;HOMEOSTASIS
2026.06.11 17:02;62473.69;124;-0.113599;0.471631;0.023608;0.067128;0.000000;false;HOMEOSTASIS
2026.06.11 17:03;62343.96;220;-0.115774;0.471089;0.027521;0.077721;0.000000;false;HOMEOSTASIS
2026.06.11 17:04;62356.53;113;-0.115033;0.471274;0.031424;0.088161;0.000000;false;HOMEOSTASIS
2026.06.11 17:05;62417.67;84;-0.111147;0.472242;0.035324;0.098467;0.000000;false;HOMEOSTASIS
2026.06.11 17:06;62413.08;94;-0.112707;0.471853;0.039206;0.108610;0.000000;false;HOMEOSTASIS
2026.06.11 17:07;62433.37;88;-0.112325;0.471948;0.043074;0.118602;0.000000;false;HOMEOSTASIS
2026.06.11 17:08;62415.13;72;-0.113448;0.471668;0.046922;0.128438;0.000000;false;HOMEOSTASIS
2026.06.11 17:09;62442.75;80;-0.109773;0.472584;0.050760;0.138149;0.000000;false;HOMEOSTASIS
2026.06.11 17:10;62475.51;116;-0.106754;0.473337;0.054585;0.147732;0.000000;false;HOMEOSTASIS
2026.06.11 17:11;62426.50;74;-0.108876;0.472808;0.058384;0.157159;0.000000;false;HOMEOSTASIS
2026.06.11 17:12;62371.14;100;-0.111899;0.472054;0.062155;0.166426;0.000000;false;HOMEOSTASIS
2026.06.11 17:13;62396.44;91;-0.111036;0.472270;0.065905;0.175560;0.000000;false;HOMEOSTASIS
2026.06.11 17:14;62384.19;50;-0.111351;0.472191;0.069630;0.184554;0.000000;false;HOMEOSTASIS
2026.06.11 17:15;62409.09;122;-0.106758;0.473336;0.073340;0.193441;0.000000;false;HOMEOSTASIS
2026.06.11 17:16;62421.86;63;-0.106917;0.473296;0.077023;0.202195;0.000000;false;HOMEOSTASIS
2026.06.11 17:17;62413.38;55;-0.107766;0.473084;0.080678;0.210811;0.000000;false;HOMEOSTASIS
2026.06.11 17:18;62337.71;76;-0.111290;0.472206;0.084299;0.219277;0.000000;false;HOMEOSTASIS
2026.06.11 17:19;62326.89;85;-0.111135;0.472245;0.087891;0.227617;0.000000;false;HOMEOSTASIS
2026.06.11 17:20;62351.71;87;-0.109725;0.472596;0.091458;0.235841;0.000000;false;HOMEOSTASIS
2026.06.11 17:21;62309.88;77;-0.111772;0.472086;0.094992;0.243928;0.000000;false;HOMEOSTASIS
2026.06.11 17:22;62301.11;86;-0.110865;0.472312;0.098497;0.251900;0.000000;false;HOMEOSTASIS
